message,predicted,tags,inquiry,ALL_Categories
عندي  في  الخدود  خطين  بني  واستخدامات  علاجات  كتير  مش  بتروح  خالص  وبتزيد,obj,,0,Other
لو سمحتي يادكتورة الزيت طرطش في وشى وعمل قشرة بني بس للاسف سابت اثر هو مش كبير بس مضايقني ياااريت تفيديني جزاكى الله كل خير,obj,,1,General-Inquiry / Consultation
شعرى جااااف جدا ,neg,,0,Negative-Feedback
دكتور انا فى حبوب فى وشى باستمرار ورحت اكثر من كذا دكتور والحبوب زي ما هي مش بتمشي من وشي,obj,,0,Other
ياريت تفيدينى بها للدكتور عشان انا تعبت من الموضوع وشي,obj,,0,Other
بشرتي حساسه جدا وفيها بقعتين بني فاتح في الخدود مضايفني اوي وعلجتهم كتير بيبهتوا لكن مش بيختفوا والبقع دي بتزيد جامد مع الشمس,obj,,0,Other
من فضلك ابني عنده 20سنة وعنده حبوب دهنية في وجه وفي ضهره من فضلك تنصحي بايه لو فيه أي علاج ياريت تقوللي عليه,obj,,0,Other
علاج للقدم السكري اكتبي الوصفه,obj,,0,Other
فين تلعنوان,obj,place-,1,Place-Inquiry
شكرا جزيلا لحضرتك,pos,,0,Positive-Feedback
ربنا يجازيك خير الجزاء ويبارك فيك ويحفظك,pos,,0,Positive-Feedback
ربنا يجازيك خير دكتورنا الفاضل على معلوماتك القيمة دي,pos,,0,Positive-Feedback
تركيب الضرس بكام والعنوان بالظبط من فضلكم,obj,price-place-,1,Mixed-Inquiries
لو كذا واحد يعملوا كام,obj,price-,1,Price-Inquiry
٦ضرس بكام,obj,price-,1,Price-Inquiry
بكام الدرس الواحد,obj,price-,1,Price-Inquiry
الاسعار ايه ضرس اوسنه ولو تركيب الجزء اللى تحت يكلف كام,obj,price-,1,Price-Inquiry
بكام زراعة الضرس,obj,price-,1,Price-Inquiry
بكام زراعة السنة والضرس,obj,price-,1,Price-Inquiry
بكام زراعه الضرس الواحد يا فندم ,obj,price-,1,Price-Inquiry
بكام ذراعه الضرس,obj,price-,1,Price-Inquiry
بكام السنه الاماميه مع اضافه عضم,obj,price-,1,Price-Inquiry
المكان فين,obj,,0,Other
ممكن اعرف كوبرى اربعه دروس يكلف كام,obj,price-,1,Price-Inquiry
لو سمحت ممكن سعر زراعة خمسة زرعات للفك العلوى وعمل كوبرى للفك بالكامل,obj,price-,1,Price-Inquiry
سعرالزرعه لو سمحت,obj,,1,General-Inquiry / Consultation
كم تكلفة زراعة الناب,obj,price-,1,Price-Inquiry
بكام الضرس وتلبيسه سنه اماميه,obj,price-,1,Price-Inquiry
بكم زراعة الضرس,obj,price-,1,Price-Inquiry
بكام تكلفة ٣ اسنان ,obj,price-,1,Price-Inquiry
بكام,obj,price-,1,Price-Inquiry
بكام زراعه الضرس الواحد ونوع الزرعه ايه,obj,price-,1,Price-Inquiry
الأسعار كم,obj,price-,1,Price-Inquiry
كم تكلفة زراعة الضرس الواحد ولو اكتر من واحد عل نفس التكلفه ولا هناك اختلاف ارجو التوضيح,obj,price-,1,Price-Inquiry
بكام زراعة الضرس,obj,price-,1,Price-Inquiry
زراعة اربعة اسنان بكام والعنوان,obj,price-place-,1,Mixed-Inquiries
احمد خالد,obj,,0,Other
لو سمحت يا دكتور زوجى عنده تقوس فى رجليه وكمان عنده قطع فى غضروف الركبه لما راح يكشف الدكتور قاله لازم الاستعدال الاول ودكتور تانى قاله سنك كبير على عملية الاستعدال هو سنه 53 فما رائ حضرتك,obj,,1,General-Inquiry / Consultation
د  وسام عند تيبس وتمزق بالاوتار الزراع الايمن في الم فظيع فيه علاج للام ده وهل ينفع اخذ حقنه كرتزون عاوزه اشيل الالام دي باي وسيله مش عارفه انام من الالم,obj,,1,General-Inquiry / Consultation
