message,predicted,tags,inquiry,ALL_Categories,cleaned
عندي  في  الخدود  خطين  بني  واستخدامات  علاجات  كتير  مش  بتروح  خالص  وبتزيد,obj,Medical_consult-,1,Medical-Consultation,عندي في الخدود خطين بني واستخدامات علاجات كتير ما بتروح خالص وبتزيد
لو سمحتي يادكتورة الزيت طرطش في وشى وعمل قشرة بني بس للاسف سابت اثر هو مش كبير بس مضايقني ياااريت تفيديني جزاكى الله كل خير,obj,,1,General-Inquiry,لو سمحتي يا دكتورة الزيت طرطش في وشي وعمل قشرة بني بس للاسف سابت اثر هو ما كبير بس مضايقني يا ريت تفيديني جزاكي الله كل خير
شعرى جااااف جدا ,obj,,0,General Conversation,شعري جاف جدا
دكتور انا فى حبوب فى وشى باستمرار ورحت اكثر من كذا دكتور والحبوب زي ما هي مش بتمشي من وشي,obj,,0,General Conversation,دكتور انا في حبوب في وشي باستمرار ورحت اكثر من كذا دكتور والحبوب زي ما هي ما بتمشي من وشي
ياريت تفيدينى بها للدكتور عشان انا تعبت من الموضوع وشي,obj,,0,General Conversation,يا ريت تفيديني بها للدكتور عشان انا تعبت من الموضوع وشي
بشرتي حساسه جدا وفيها بقعتين بني فاتح في الخدود مضايفني اوي وعلجتهم كتير بيبهتوا لكن مش بيختفوا والبقع دي بتزيد جامد مع الشمس,obj,,0,General Conversation,بشرتي حساسه جدا وفيها بقعتين بني فاتح في الخدود مضايفني اوي وعلجتهم كتير بيبهتوا لكن ما بيختفوا والبقع دي بتزيد جامد مع الشمس
من فضلك ابني عنده 20سنة وعنده حبوب دهنية في وجه وفي ضهره من فضلك تنصحي بايه لو فيه أي علاج ياريت تقوللي عليه,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,من فضلك ابني عنده 20سنة وعنده حبوب دهنية في وجه وفي ضهره من فضلك تنصحي بايه لو فيه اي علاج يا ريت تقوللي عليه
علاج للقدم السكري اكتبي الوصفه,obj,Medical_consult-PriceBooking-,1,Mixed-Inquiries,علاج للقدم السكري اكتبي الوصفه
فين تلعنوان,obj,place-place-,1,Mixed-Inquiries,فين تلعنوان
شكرا جزيلا لحضرتك,pos,,0,Positive-Feedback,شكرا جزيلا لحضرتك
ربنا يجازيك خير الجزاء ويبارك فيك ويحفظك,pos,,0,Positive-Feedback,ربنا يجازيك خير الجزاء ويبارك فيك ويحفظك
ربنا يجازيك خير دكتورنا الفاضل على معلوماتك القيمة دي,pos,,0,Positive-Feedback,ربنا يجازيك خير دكتورنا الفاضل علي معلوماتك القيمة دي
تركيب الضرس بكام والعنوان بالظبط من فضلكم,obj,price-place-Medical_consult-,1,Mixed-Inquiries,تركيب الضرس بكام والعنوان بالظبط من فضلكم
لو كذا واحد يعملوا كام,obj,price-,1,Price-Inquiry,لو كذا واحد يعملوا كام
٦ضرس بكام,obj,price-,1,Price-Inquiry,٦ضرس بكام
بكام الدرس الواحد,obj,price-,1,Price-Inquiry,بكام الدرس الواحد
الاسعار ايه ضرس اوسنه ولو تركيب الجزء اللى تحت يكلف كام,obj,price-Medical_consult-,1,Mixed-Inquiries,الاسعار ايه ضرس اوسنه ولو تركيب الجزء اللي تحت يكلف كام
بكام زراعة الضرس,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام زراعة الضرس
بكام زراعة السنة والضرس,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام زراعة السنة والضرس
بكام زراعه الضرس الواحد يا فندم ,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام زراعه الضرس الواحد يا فندم
بكام ذراعه الضرس,obj,price-,1,Price-Inquiry,بكام ذراعه الضرس
بكام السنه الاماميه مع اضافه عضم,obj,price-,1,Price-Inquiry,بكام السنه الاماميه مع اضافه عضم
المكان فين,obj,place-place-,1,Mixed-Inquiries,المكان فين
ممكن اعرف كوبرى اربعه دروس يكلف كام,obj,price-,1,Price-Inquiry,ممكن اعرف كوبري اربعه دروس يكلف كام
لو سمحت ممكن سعر زراعة خمسة زرعات للفك العلوى وعمل كوبرى للفك بالكامل,obj,price-Medical_consult-,1,Mixed-Inquiries,لو سمحت ممكن سعر زراعة خمسة زرعات للفك العلوي وعمل كوبري للفك بالكامل
سعرالزرعه لو سمحت,obj,,1,General-Inquiry,سعرالزرعه لو سمحت
كم تكلفة زراعة الناب,obj,price-,1,Price-Inquiry,كم تكلفة زراعة الناب
بكام الضرس وتلبيسه سنه اماميه,obj,price-,1,Price-Inquiry,بكام الضرس وتلبيسه سنه اماميه
بكم زراعة الضرس,obj,price-,1,Price-Inquiry,بكم زراعة الضرس
بكام تكلفة ٣ اسنان ,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام تكلفة ٣ اسنان
بكام,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام
بكام زراعه الضرس الواحد ونوع الزرعه ايه,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام زراعه الضرس الواحد ونوع الزرعه ايه
الأسعار كم,obj,price-,1,Price-Inquiry,الاسعار كم
كم تكلفة زراعة الضرس الواحد ولو اكتر من واحد عل نفس التكلفه ولا هناك اختلاف ارجو التوضيح,obj,price-,1,Price-Inquiry,كم تكلفة زراعة الضرس الواحد ولو اكتر من واحد عل نفس التكلفه ولا هناك اختلاف ارجو التوضيح
بكام زراعة الضرس,obj,price-Medical_consult-,1,Mixed-Inquiries,بكام زراعة الضرس
زراعة اربعة اسنان بكام والعنوان,obj,price-place-Medical_consult-,1,Mixed-Inquiries,زراعة اربعة اسنان بكام والعنوان
احمد خالد,obj,,0,General Conversation,احمد خالد
