message,cleaned,predicted,tags,inquiry,ALL_Categories
عندي  في  الخدود  خطين  بني  واستخدامات  علاجات  كتير  مش  بتروح  خالص  وبتزيد,عندي في الخدود خطين بني واستخدامات علاجات كتير ما بتروح خالص وبتزيد,obj,,1,General-Inquiry
لو سمحتي يادكتورة الزيت طرطش في وشى وعمل قشرة بني بس للاسف سابت اثر هو مش كبير بس مضايقني ياااريت تفيديني جزاكى الله كل خير,لو سمحتي يا دكتورة الزيت طرطش في وشي وعمل قشرة بني بس للاسف سابت اثر هو ما كبير بس مضايقني يا ريت تفيديني جزاكي الله كل خير,obj,Medical_consult-,1,Medical-Consultation
شعرى جااااف جدا ,شعري جاف جدا,obj,,0,General Conversation
دكتور انا فى حبوب فى وشى باستمرار ورحت اكثر من كذا دكتور والحبوب زي ما هي مش بتمشي من وشي,دكتور انا في حبوب في وشي باستمرار ورحت اكثر من كذا دكتور والحبوب زي ما هي ما بتمشي من وشي,obj,Medical_consult-,1,Medical-Consultation
ياريت تفيدينى بها للدكتور عشان انا تعبت من الموضوع وشي,يا ريت تفيديني بها للدكتور عشان انا تعبت من الموضوع وشي,obj,Medical_consult-,1,Medical-Consultation
بشرتي حساسه جدا وفيها بقعتين بني فاتح في الخدود مضايفني اوي وعلجتهم كتير بيبهتوا لكن مش بيختفوا والبقع دي بتزيد جامد مع الشمس,بشرتي حساسه جدا وفيها بقعتين بني فاتح في الخدود مضايفني اوي وعلجتهم كتير بيبهتوا لكن ما بيختفوا والبقع دي بتزيد جامد مع الشمس,obj,Medical_consult-,1,Medical-Consultation
من فضلك ابني عنده 20سنة وعنده حبوب دهنية في وجه وفي ضهره من فضلك تنصحي بايه لو فيه أي علاج ياريت تقوللي عليه,من فضلك ابني عنده 20سنة وعنده حبوب دهنية في وجه وفي ضهره من فضلك تنصحي بايه لو فيه اي علاج يا ريت تقوللي عليه,obj,Medical_consult-place-,1,Mixed-Inquiries
علاج للقدم السكري اكتبي الوصفه,علاج للقدم السكري اكتبي الوصفه,obj,Medical_consult-,1,Medical-Consultation
فين تلعنوان,فين تلعنوان,obj,place-,1,Location-Inquiry
شكرا جزيلا لحضرتك,شكرا جزيلا لحضرتك,pos,,0,Positive-Feedback
ربنا يجازيك خير الجزاء ويبارك فيك ويحفظك,ربنا يجازيك خير الجزاء ويبارك فيك ويحفظك,pos,,0,Positive-Feedback
ربنا يجازيك خير دكتورنا الفاضل على معلوماتك القيمة دي,ربنا يجازيك خير دكتورنا الفاضل علي معلوماتك القيمة دي,pos,price-,1,Positive-Feedback
تركيب الضرس بكام والعنوان بالظبط من فضلكم,تركيب الضرس بكام والعنوان بالظبط من فضلكم,obj,Medical_consult-price-,1,Mixed-Inquiries
لو كذا واحد يعملوا كام,لو كذا واحد يعملوا كام,obj,price-,1,Price-Inquiry
٦ضرس بكام,٦ضرس بكام,obj,price-,1,Price-Inquiry
بكام الدرس الواحد,بكام الدرس الواحد,obj,price-,1,Price-Inquiry
الاسعار ايه ضرس اوسنه ولو تركيب الجزء اللى تحت يكلف كام,الاسعار ايه ضرس اوسنه ولو تركيب الجزء اللي تحت يكلف كام,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام زراعة الضرس,بكام زراعة الضرس,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام زراعة السنة والضرس,بكام زراعة السنة والضرس,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام زراعه الضرس الواحد يا فندم ,بكام زراعه الضرس الواحد يا فندم,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام ذراعه الضرس,بكام ذراعه الضرس,obj,Medical_consult-price-,1,Mixed-Inquiries
بكام السنه الاماميه مع اضافه عضم,بكام السنه الاماميه مع اضافه عضم,obj,Medical_consult-price-,1,Mixed-Inquiries
المكان فين,المكان فين,obj,place-,1,Location-Inquiry
ممكن اعرف كوبرى اربعه دروس يكلف كام,ممكن اعرف كوبري اربعه دروس يكلف كام,obj,price-,1,Price-Inquiry
لو سمحت ممكن سعر زراعة خمسة زرعات للفك العلوى وعمل كوبرى للفك بالكامل,لو سمحت ممكن سعر زراعة خمسة زرعات للفك العلوي وعمل كوبري للفك بالكامل,obj,Medical_consult-price-,1,Mixed-Inquiries
سعرالزرعه لو سمحت,سعرالزرعه لو سمحت,obj,,1,General-Inquiry
كم تكلفة زراعة الناب,كم تكلفة زراعة الناب,obj,Medical_consult-price-,1,Mixed-Inquiries
